locus	dataset_label	study_id	dataset_id	sample_size	qtl_type	source_url	n_rows	status	message	output	sha256
block464	GTEx_colon_sigmoid_sQTL	QTS000015	QTD000230	318	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000230/QTD000230.cc.tsv.gz	12608	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__GTEx_colon_sigmoid_sQTL.tsv.gz	0b902b810d5257775318a9af4091c5ab8d2cb5425542026f718535c8f511c956
block1671	GTEx_colon_sigmoid_sQTL	QTS000015	QTD000230	318	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000230/QTD000230.cc.tsv.gz	4564	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__GTEx_colon_sigmoid_sQTL.tsv.gz	ca5dedfb5acb0599d569c2c7f37fd8330c1dc6ee8cb54d8f087429f689ba72a3
block154	GTEx_colon_transverse_eQTL	QTS000015	QTD000231	368	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000231/QTD000231.all.tsv.gz	47075	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__GTEx_colon_transverse_eQTL.tsv.gz	e4b7ba3ad3d2b3cbd48af4bebe1cbde6d0da77584b305ed2018c0b54b57bc99b
block464	GTEx_colon_transverse_eQTL	QTS000015	QTD000231	368	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000231/QTD000231.all.tsv.gz	86067	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__GTEx_colon_transverse_eQTL.tsv.gz	f4f54a4c082ce6315aad5899faddbcb2e2de43f7238ad0d9a1b1f39f46b4c37a
block1671	GTEx_colon_transverse_eQTL	QTS000015	QTD000231	368	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000231/QTD000231.all.tsv.gz	45142	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__GTEx_colon_transverse_eQTL.tsv.gz	892f3e5c970d43dfb4b4b6351d11f1529c2c4ac4f91df81e32d7d5dce12c3573
block154	GTEx_colon_transverse_sQTL	QTS000015	QTD000235	368	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000235/QTD000235.cc.tsv.gz	0	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__GTEx_colon_transverse_sQTL.tsv.gz	4b4fbb4b0ac5818f109a9390f16a0b0f7830fcb4e5b59a9c7228b596cc2b00bf
block464	GTEx_colon_transverse_sQTL	QTS000015	QTD000235	368	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000235/QTD000235.cc.tsv.gz	12366	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__GTEx_colon_transverse_sQTL.tsv.gz	fb4981887f218a18a8a8c252ab29a7dd0f9594a0a96aca2f1bf10344011d80d0
block1671	GTEx_colon_transverse_sQTL	QTS000015	QTD000235	368	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000235/QTD000235.cc.tsv.gz	4760	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__GTEx_colon_transverse_sQTL.tsv.gz	8a2ed07d7a434af80665ce9ca20bc96463fe5f8ec4ba2585ec1558d427e84b6f
block154	GTEx_small_intestine_eQTL	QTS000015	QTD000321	174	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000321/QTD000321.all.tsv.gz	53335	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__GTEx_small_intestine_eQTL.tsv.gz	d561f165c7ae75633407ad0f4e45fc7c8ea75aa50f12a29c92659cd2ba4523e9
block464	GTEx_small_intestine_eQTL	QTS000015	QTD000321	174	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000321/QTD000321.all.tsv.gz	80028	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__GTEx_small_intestine_eQTL.tsv.gz	4866420126667e84e0ab5c64a86e6d0041eb6c11ed8417b5afd9b8ae91675e43
block1671	GTEx_small_intestine_eQTL	QTS000015	QTD000321	174	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000321/QTD000321.all.tsv.gz	38939	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__GTEx_small_intestine_eQTL.tsv.gz	383e9f59c9d27ab9091d1b49e0455072bac1d3393908774a03dc71b55daca938
block154	GTEx_small_intestine_sQTL	QTS000015	QTD000325	174	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000325/QTD000325.cc.tsv.gz	0	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__GTEx_small_intestine_sQTL.tsv.gz	1c39f57eeb5cfca96d2e25694437e2acff5fde7026f33acbaa0945c1a79a564a
block464	GTEx_small_intestine_sQTL	QTS000015	QTD000325	174	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000325/QTD000325.cc.tsv.gz	5721	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__GTEx_small_intestine_sQTL.tsv.gz	d6d3a3f8339f37d734875366f81ff130f2b1cf06f79f4b2219bb7dd8d2867e8e
block1671	GTEx_small_intestine_sQTL	QTS000015	QTD000325	174	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000325/QTD000325.cc.tsv.gz	0	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__GTEx_small_intestine_sQTL.tsv.gz	26ff3ff899bc23f7d6675f5a2b1236db602078002deb0fafb012db80c3d6c89c
block154	GTEx_blood_eQTL	QTS000015	QTD000356	670	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000356/QTD000356.all.tsv.gz	38803	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__GTEx_blood_eQTL.tsv.gz	d5014e5f4f95d1ec4d2d49d81022428d57ac82d9f9282916141fe38740dab42e
block464	GTEx_blood_eQTL	QTS000015	QTD000356	670	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000356/QTD000356.all.tsv.gz	69074	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__GTEx_blood_eQTL.tsv.gz	c09fea1b273034a51deedca62b88fe75905092536d18a754e3da2a96d036345c
block1671	GTEx_blood_eQTL	QTS000015	QTD000356	670	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000356/QTD000356.all.tsv.gz	39536	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__GTEx_blood_eQTL.tsv.gz	14a833a532d17ced1c5801bb5a567fd113cdb4da649361727a5e7e64f679fc14
block154	GTEx_blood_sQTL	QTS000015	QTD000360	670	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000360/QTD000360.cc.tsv.gz	0	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__GTEx_blood_sQTL.tsv.gz	d406341b2b6c3f763af59fc27deb44cb680c5aaf1f861c5373f6a0504c7da5df
block464	GTEx_blood_sQTL	QTS000015	QTD000360	670	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000360/QTD000360.cc.tsv.gz	19781	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__GTEx_blood_sQTL.tsv.gz	b4424238c095653ffe6f1a09cda616b0446787d66d78f53b0a2f3b80bcf7eaef
block1671	GTEx_blood_sQTL	QTS000015	QTD000360	670	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000360/QTD000360.cc.tsv.gz	4017	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__GTEx_blood_sQTL.tsv.gz	0d1f20d95f33f999a6184af502e2983807e88c11bb660cd09c248d3e68c25bf8
block154	BLUEPRINT_monocyte_eQTL	QTS000002	QTD000021	191	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000002/QTD000021/QTD000021.all.tsv.gz	29432	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__BLUEPRINT_monocyte_eQTL.tsv.gz	3a6e688283f2edece672b8f424cd11fc45f92fbd56068f773278a8d8f533b5b8
block464	BLUEPRINT_monocyte_eQTL	QTS000002	QTD000021	191	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000002/QTD000021/QTD000021.all.tsv.gz	84361	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__BLUEPRINT_monocyte_eQTL.tsv.gz	68c198c61e845f9499759bfae637ecb2177fb842461fbf8846b55cc8e986b2e6
block1671	BLUEPRINT_monocyte_eQTL	QTS000002	QTD000021	191	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000002/QTD000021/QTD000021.all.tsv.gz	29941	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__BLUEPRINT_monocyte_eQTL.tsv.gz	002d0d8868cc8535fce5e099a214e45c32f914077fccfa485d2b766fa62e160c
block154	BLUEPRINT_monocyte_sQTL	QTS000002	QTD000025	191	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000002/QTD000025/QTD000025.cc.tsv.gz	0	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__BLUEPRINT_monocyte_sQTL.tsv.gz	d3088388344a477d77b0a3fc2874e2bf31f687d31d7185771053884638794718
block464	BLUEPRINT_monocyte_sQTL	QTS000002	QTD000025	191	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000002/QTD000025/QTD000025.cc.tsv.gz	4592	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__BLUEPRINT_monocyte_sQTL.tsv.gz	92914b2aa30c5af6c2ae2e3cc077afb32f8058de9b6fef78187b9bab425e537d
block1671	BLUEPRINT_monocyte_sQTL	QTS000002	QTD000025	191	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000002/QTD000025/QTD000025.cc.tsv.gz	0	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__BLUEPRINT_monocyte_sQTL.tsv.gz	6a009fa5463e751b9f0f5c9dcff64a44357b3335ee3edbeafd919b4ef6ed38c2
block154	BLUEPRINT_CD4_T_eQTL	QTS000002	QTD000031	167	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000002/QTD000031/QTD000031.all.tsv.gz	46076	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__BLUEPRINT_CD4_T_eQTL.tsv.gz	136fd00663d6640377f3dcdd48b203a960e32ec385c799bbdc46aea24ae0b1ec
block464	BLUEPRINT_CD4_T_eQTL	QTS000002	QTD000031	167	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000002/QTD000031/QTD000031.all.tsv.gz	94572	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__BLUEPRINT_CD4_T_eQTL.tsv.gz	cc217e4c00b5a0767d894160761be4979cf93ed657b72256df92f45e1a87cdc4
block1671	BLUEPRINT_CD4_T_eQTL	QTS000002	QTD000031	167	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000002/QTD000031/QTD000031.all.tsv.gz	26656	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__BLUEPRINT_CD4_T_eQTL.tsv.gz	4fe77d0c4ce4d9555abf0682ed53d6ad0ac7c7fdbde1124fc7275319226fe6b6
block154	BLUEPRINT_CD4_T_sQTL	QTS000002	QTD000035	167	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000002/QTD000035/QTD000035.cc.tsv.gz	0	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__BLUEPRINT_CD4_T_sQTL.tsv.gz	9c7d3dbd5bde275aa1c437bd4286b46eae6dfc4c91ecfd374d60e686f0b104ce
block464	BLUEPRINT_CD4_T_sQTL	QTS000002	QTD000035	167	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000002/QTD000035/QTD000035.cc.tsv.gz	9107	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__BLUEPRINT_CD4_T_sQTL.tsv.gz	669e3aee3831eb99edc03a9aeac68cb850a53260b768518ff64e6a27c4115908
block1671	BLUEPRINT_CD4_T_sQTL	QTS000002	QTD000035	167	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000002/QTD000035/QTD000035.cc.tsv.gz	0	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__BLUEPRINT_CD4_T_sQTL.tsv.gz	6f639a55a1e4dc14033a1aa0a8eca428bb4a3f9a40a3f5cec6ddab425bc3d832
block154	CEDAR_rectum_eQTL	QTS000007	QTD000072	271	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000007/QTD000072/QTD000072.all.tsv.gz	0	retrieval_error	HTTP Error 500: Internal Server Error	/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__CEDAR_rectum_eQTL.tsv.gz	40ad46648755476d0042db64a1c83e345e5a69fef363b69e750711b10cf75c8c
block464	CEDAR_rectum_eQTL	QTS000007	QTD000072	271	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000007/QTD000072/QTD000072.all.tsv.gz	0	retrieval_error	HTTP Error 500: Internal Server Error	/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__CEDAR_rectum_eQTL.tsv.gz	eebb9b6fcc63e427b28145a31276b93d06cfc03ca99849b46fde837963336ebb
block1671	CEDAR_rectum_eQTL	QTS000007	QTD000072	271	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000007/QTD000072/QTD000072.all.tsv.gz	0	retrieval_error	HTTP Error 500: Internal Server Error	/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__CEDAR_rectum_eQTL.tsv.gz	8e00fda5a16c6d293b6fb2a57b764060ce5132b78a9995cf8486f36690fe856c
block154	CEDAR_colon_transverse_eQTL	QTS000007	QTD000068	286	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000007/QTD000068/QTD000068.all.tsv.gz	0	retrieval_error	HTTP Error 500: Internal Server Error	/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__CEDAR_colon_transverse_eQTL.tsv.gz	a12d3cc87f991746015f23eab886700185f308d814c6a2286e37abd802675eee
block464	CEDAR_colon_transverse_eQTL	QTS000007	QTD000068	286	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000007/QTD000068/QTD000068.all.tsv.gz	0	retrieval_error	HTTP Error 500: Internal Server Error	/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__CEDAR_colon_transverse_eQTL.tsv.gz	9f5f7315189752f788dc1ef7c60b9358874431e23f937eb2f3a2fe32098c3dc6
block1671	CEDAR_colon_transverse_eQTL	QTS000007	QTD000068	286	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000007/QTD000068/QTD000068.all.tsv.gz	0	retrieval_error	HTTP Error 500: Internal Server Error	/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__CEDAR_colon_transverse_eQTL.tsv.gz	62ca0222aa62f6c99cd3a68459fd2fb533e74d840f2b38a3778fc1275331fdbf
block154	CEDAR_ileum_eQTL	QTS000007	QTD000074	180	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000007/QTD000074/QTD000074.all.tsv.gz	0	retrieval_error	HTTP Error 500: Internal Server Error	/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__CEDAR_ileum_eQTL.tsv.gz	ed0a42b1057338c7dbe360ef14035286379c3c3952c46fd35610bdc419852286
block464	CEDAR_ileum_eQTL	QTS000007	QTD000074	180	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000007/QTD000074/QTD000074.all.tsv.gz	0	retrieval_error	HTTP Error 500: Internal Server Error	/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__CEDAR_ileum_eQTL.tsv.gz	33b2beaabcfafec6206ca005ec837606ff22c5ec563f897de2bb82703b6c7741
block1671	CEDAR_ileum_eQTL	QTS000007	QTD000074	180	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000007/QTD000074/QTD000074.all.tsv.gz	0	retrieval_error	HTTP Error 500: Internal Server Error	/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__CEDAR_ileum_eQTL.tsv.gz	6f315bfda91f689f257284b40f3b4892122d8dbe302e7161e90e2b74091fc2df
